ID,M-1,M-2,M-3,M-4,M-5,M-6,M-7,M-8,M-9,M-10,M-11,M-12,M-13,G-1,G-2,G-3,G-4,G-5,G-6,G-7,G-8,G-9,G-10,G-11,G-12,G-13,G-14,G-15,G-16,G-19,G-20,G-21,G-22,G-23,G-24,G-25
OTU1,5,77,9,2,4,10,80,38,43,3,0,1,4,7,4,1,3,0,2,4,4,4,5,8,1,17,0,4,1,1,0,1,24,0,6,11
OTU2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,2,1,0,1,0,0
OTU3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
OTU4,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,1,0,1,0
OTU5,0,0,0,0,0,0,0,0,0,2,0,4,0,0,2,1,2,0,1,1,1,0,0,0,0,0,2,0,1,1,1,0,0,1,0,0
OTU6,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU8,3,2,0,3,1,1,6,8,1,3,0,1,2,2,0,4,2,2,6,1,3,1,7,4,2,14,6,8,7,2,3,4,7,6,2,2
OTU9,3,0,0,1,0,0,0,1,0,1,1,3,0,1,1,0,3,1,5,1,1,1,2,2,0,3,4,4,3,3,1,3,0,0,0,1
OTU10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
OTU11,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,0,0,0,1,1,0,0,0
OTU12,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,1,1,0,0,0,1,0,0,0,0
OTU14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
OTU15,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU16,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU17,4,0,2,0,6,1,4,3,9,0,0,0,2,0,0,1,2,0,3,0,0,0,6,2,0,1,0,2,0,0,0,0,5,0,0,3
OTU18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU19,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU20,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0
OTU22,0,0,0,0,0,0,40,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU23,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU24,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,2,0,0,0,0,0
OTU25,7,22,38,14,36,5,8,4,20,7,8,6,11,65,16,37,25,84,32,42,35,16,54,36,81,10,50,51,46,43,8,7,122,85,122,66
OTU26,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU27,0,1,1,0,0,0,1,3,0,1,0,4,0,0,0,0,0,0,3,1,1,1,2,0,0,2,2,3,1,2,5,6,11,0,0,1
OTU28,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,1,0,0,1,0,0,2,0,0,0,0,1,1,0,0
OTU29,0,1,0,0,0,0,0,0,0,2,0,3,0,2,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,3,4,2,0,0,0,3
OTU30,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
OTU31,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2,1,0,0,0,0
OTU32,8,1,2,0,0,2,2,1,1,4,0,3,2,1,2,0,1,1,3,1,3,2,4,6,5,0,1,8,2,1,1,3,3,0,3,6
OTU33,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,20,0,1,0,0,3,0,2,1,0,0,0,3,35
OTU34,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1,0,0,1,0,0,1,0,6,0,1,2,0,0,6,4,0,0,1,2
OTU35,0,0,4,7,5,1,0,0,1,7,6,1,5,2,3,4,3,1,0,0,2,1,3,5,0,2,1,1,2,2,5,0,0,2,1,0
OTU36,5,22,3,7,1,7,4,0,9,9,4,5,3,6,4,2,4,10,1,11,14,16,14,36,33,43,8,24,14,10,10,12,85,7,16,18
OTU37,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU38,0,0,4,0,0,6,0,4,7,0,2,2,4,2,4,2,2,4,3,1,3,1,0,2,0,5,1,1,3,1,1,1,4,2,1,0
OTU39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
OTU40,0,0,0,0,1,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
OTU41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU42,15,2,3,5,2,2,0,13,5,17,13,6,7,9,2,13,18,9,16,6,9,10,17,21,13,6,7,35,11,6,7,15,15,9,8,12
OTU43,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1
OTU45,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU46,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
OTU47,0,1,1,0,2,0,5,8,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU48,23,0,6,3,8,1,1,7,3,1,0,0,0,0,0,0,1,2,2,1,2,1,0,0,0,0,2,4,1,0,1,5,0,2,1,3
OTU49,18,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU50,1,0,3,1,0,1,4,3,1,0,0,1,0,2,0,1,8,2,5,2,0,1,11,3,0,9,3,4,0,1,1,0,1,1,1,1
